Última Medição;2018m12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Download em;2019m01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Site;http://www.ispdados.rj.gov.br/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CISP;mes;vano;mes_ano;AISP;RISP;munic;mcirc;Regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;registro_ocorrencias;fase
20;5;2003;2003m5;6;1;Rio de Janeiro;3304557;Capital;1;0;0;2;3;52;1;0;15;9;3;68;3;26;4;1;0;27;0;2;;63;206;39;13;0;7;;76;135;0;0;0;8;15; ; ; ;65;;;;;35;5;1;0;0;0;3;57;68;535;3
21;5;2003;2003m5;22;1;Rio de Janeiro;3304557;Capital;16;1;0;4;26;81;3;3;75;9;0;184;14;48;17;0;0;41;0;13;;195;521;42;8;3;12;;91;156;0;0;0;11;51; ; ; ;160;;;;;53;8;10;0;0;0;21;106;184;1092;3
22;5;2003;2003m5;16;1;Rio de Janeiro;3304557;Capital;8;0;0;1;1;41;0;2;42;14;1;119;9;36;14;0;0;22;0;9;;82;306;38;9;1;5;;90;143;0;0;0;10;15; ; ; ;132;;;;;36;6;1;0;3;0;9;72;119;736;3
23;5;2003;2003m5;3;1;Rio de Janeiro;3304557;Capital;6;0;0;0;3;63;1;2;35;19;2;117;11;42;11;0;0;51;0;4;;152;409;45;30;0;12;;96;183;0;2;0;28;3; ; ; ;60;;;;;57;2;0;0;0;0;6;104;117;852;3
24;5;2003;2003m5;3;1;Rio de Janeiro;3304557;Capital;6;0;1;1;3;40;1;0;39;5;1;122;8;29;8;0;0;16;2;3;;101;295;20;4;0;1;;52;77;0;2;0;14;7; ; ; ;81;;;;;51;7;1;0;0;0;8;53;122;581;3
25;5;2003;2003m5;3;1;Rio de Janeiro;3304557;Capital;1;0;0;3;10;30;1;1;25;10;0;92;15;23;4;0;1;17;0;2;;82;246;12;5;1;3;;49;70;0;0;0;3;35; ; ; ;142;;;;;28;6;7;0;0;0;4;44;92;610;3
26;5;2003;2003m5;3;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;2;0;0;0;0;;0;0;0;0;0;0;0; ; ; ;0;;;;;2;0;0;0;0;0;0;0;0;6;3
27;5;2003;2003m5;9;2;Rio de Janeiro;3304557;Capital;9;0;0;0;6;52;0;1;48;11;3;143;2;35;10;0;0;23;1;12;;86;326;49;5;0;3;;87;144;0;2;0;7;4; ; ; ;82;;;;;58;8;1;0;0;1;9;68;143;711;3
28;5;2003;2003m5;9;2;Rio de Janeiro;3304557;Capital;14;0;0;4;11;52;3;3;18;6;1;46;2;24;10;0;0;22;0;4;;36;151;21;7;0;3;;47;78;0;0;0;14;3; ; ; ;38;;;;;68;4;2;0;0;0;18;56;46;450;3
29;5;2003;2003m5;9;2;Rio de Janeiro;3304557;Capital;7;0;1;6;0;50;1;1;24;18;1;68;7;50;22;0;0;31;0;5;;51;253;23;28;1;12;;86;150;0;0;0;16;7; ; ; ;31;;;;;47;0;1;0;0;0;14;103;68;610;3
30;5;2003;2003m5;9;2;Rio de Janeiro;3304557;Capital;9;0;1;4;3;58;3;5;40;11;1;92;3;33;9;0;0;23;0;8;;58;238;33;7;1;2;;46;89;0;0;0;10;0; ; ; ;37;;;;;62;6;1;0;0;0;14;65;92;520;3
31;5;2003;2003m5;14;2;Rio de Janeiro;3304557;Capital;0;0;0;0;0;10;1;0;0;0;0;3;1;2;1;0;0;1;0;0;;4;12;0;0;0;0;;2;2;0;0;0;0;1; ; ; ;5;;;;;8;0;0;0;0;0;0;4;3;40;3
32;5;2003;2003m5;18;2;Rio de Janeiro;3304557;Capital;3;0;0;3;6;109;4;6;76;14;1;31;11;15;18;0;0;25;0;10;;34;159;22;6;0;9;;84;121;0;2;0;13;11; ; ; ;45;;;;;109;12;3;0;0;0;6;58;31;676;3
33;5;2003;2003m5;14;2;Rio de Janeiro;3304557;Capital;15;0;1;0;3;83;3;4;44;12;2;57;2;35;14;0;0;15;0;4;;49;190;40;3;2;4;;67;116;0;0;0;10;10; ; ; ;40;;;;;66;6;0;0;0;0;16;64;57;618;3
34;5;2003;2003m5;14;2;Rio de Janeiro;3304557;Capital;20;0;4;2;3;93;5;4;41;12;6;132;19;63;19;0;0;31;0;5;;88;375;59;11;0;6;;110;186;0;0;0;18;28; ; ; ;149;;;;;71;9;4;0;0;0;26;113;132;1012;3
35;5;2003;2003m5;39;2;Rio de Janeiro;3304557;Capital;32;0;1;1;10;204;16;7;130;16;7;94;8;58;24;0;0;31;0;5;;63;306;57;36;4;20;;179;296;0;3;0;31;15; ; ; ;79;;;;;189;11;7;1;0;0;34;113;94;1351;3
36;5;2003;2003m5;27;2;Rio de Janeiro;3304557;Capital;16;1;0;4;19;138;8;4;54;13;2;42;14;16;12;0;0;5;0;10;;31;145;18;6;0;6;;99;129;0;0;0;17;17; ; ; ;39;;;;;127;11;7;0;0;0;21;33;42;737;3
37;5;2003;2003m5;17;1;Rio de Janeiro;3304557;Capital;4;0;0;4;3;69;3;3;46;14;3;142;9;30;10;0;0;23;1;7;;109;348;19;7;2;10;;85;123;0;0;0;20;17; ; ; ;115;;;;;76;9;8;0;0;0;8;63;142;826;3
38;5;2003;2003m5;16;1;Rio de Janeiro;3304557;Capital;10;0;0;1;3;63;1;2;52;11;1;122;25;21;11;0;0;22;3;4;;76;296;30;6;1;2;;72;111;0;1;0;7;11; ; ; ;89;;;;;52;2;3;0;0;0;11;54;122;659;3
39;5;2003;2003m5;9;2;Rio de Janeiro;3304557;Capital;20;0;1;10;8;77;3;2;36;11;1;83;7;39;21;0;0;23;0;3;;83;271;27;8;0;5;;40;80;0;0;0;5;10; ; ; ;52;;;;;68;9;2;0;0;0;31;83;83;659;3
40;5;2003;2003m5;9;2;Rio de Janeiro;3304557;Capital;9;0;1;0;5;50;2;5;23;6;0;58;10;14;15;0;0;9;0;4;;48;164;6;0;0;1;;29;36;0;1;0;6;2; ; ; ;78;;;;;53;6;0;0;0;0;10;38;58;411;3
41;5;2003;2003m5;18;2;Rio de Janeiro;3304557;Capital;3;0;0;0;1;32;1;0;48;17;1;34;2;14;2;0;0;12;1;11;;37;131;26;6;1;5;;63;101;0;0;0;9;2; ; ; ;27;;;;;40;2;2;0;0;0;3;28;34;422;3
43;5;2003;2003m5;39;2;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0; ; ; ;0;;;;;0;0;0;0;0;0;0;0;0;0;3
44;5;2003;2003m5;3;1;Rio de Janeiro;3304557;Capital;7;0;0;1;5;27;2;0;16;13;0;112;7;19;6;0;0;20;0;2;;91;270;15;3;1;5;;35;59;0;2;0;3;5; ; ; ;98;;;;;24;3;0;0;0;0;8;45;112;489;3
48;5;2003;2003m5;24;3;Seropédica;3305554;Baixada Fluminense;4;0;0;0;1;17;2;3;5;1;2;13;6;3;0;1;0;0;0;0;;4;30;3;0;0;0;;44;47;0;0;0;1;4; ; ; ;11;;;;;26;3;0;0;0;0;4;3;13;169;3
50;5;2003;2003m5;24;3;Itaguaí;3302007;Baixada Fluminense;6;0;0;0;6;65;5;1;16;5;3;4;0;4;1;0;0;1;1;6;;2;27;15;4;0;0;;53;72;0;0;0;5;5; ; ; ;7;;;;;57;5;0;0;0;0;6;6;4;285;3
51;5;2003;2003m5;24;3;Paracambi;3303609;Baixada Fluminense;3;0;0;0;0;23;0;3;4;0;0;3;2;0;0;0;0;0;0;0;;3;8;3;1;0;2;;20;26;0;0;0;1;3; ; ; ;3;;;;;52;1;0;0;0;0;3;0;3;125;3
52;5;2003;2003m5;20;3;Nova Iguaçu;3303500;Baixada Fluminense;0;0;0;0;4;98;2;3;36;14;3;53;7;20;8;0;0;19;0;5;;48;177;35;6;0;3;;65;109;0;1;0;9;3; ; ; ;19;;;;;118;3;0;1;0;0;0;47;53;560;3
53;5;2003;2003m5;20;3;Mesquita;3302858;Baixada Fluminense;5;0;1;2;5;68;5;3;14;5;2;22;0;16;12;0;0;13;0;2;;23;95;18;0;2;5;;46;71;0;0;0;4;6; ; ; ;16;;;;;82;7;2;0;0;0;8;41;22;406;3
54;5;2003;2003m5;20;3;Belford Roxo;3300456;Baixada Fluminense;25;0;1;1;11;145;8;0;29;3;1;41;7;14;8;0;0;10;0;2;;37;123;20;1;1;2;;87;111;0;1;0;10;14; ; ; ;34;;;;;129;16;0;0;0;0;27;32;41;668;3
55;5;2003;2003m5;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;17;0;0;0;5;63;2;1;17;1;3;13;4;4;1;0;0;1;0;0;;10;37;1;2;0;0;;41;44;0;0;0;4;11; ; ; ;17;;;;;32;9;1;0;0;0;17;6;13;273;3
56;5;2003;2003m5;20;3;Nova Iguaçu;3303500;Baixada Fluminense;15;0;0;0;4;55;2;1;16;8;1;33;2;20;5;0;0;5;0;1;;32;107;8;6;1;2;;48;65;0;1;0;1;13; ; ; ;29;;;;;66;7;1;0;0;0;15;30;33;386;3
57;5;2003;2003m5;20;3;Nilópolis;3303203;Baixada Fluminense;7;0;1;1;1;73;1;5;12;9;3;41;2;25;2;0;0;7;1;2;;43;135;26;7;0;2;;47;82;0;0;0;9;16; ; ; ;40;;;;;37;9;0;0;0;0;9;34;41;419;3
58;5;2003;2003m5;20;3;Nova Iguaçu;3303500;Baixada Fluminense;39;0;0;2;4;98;0;6;40;4;3;51;1;4;9;0;0;6;0;0;;30;108;11;0;0;2;;63;76;0;1;0;4;7; ; ; ;33;;;;;110;7;0;0;0;0;41;19;51;533;3
59;5;2003;2003m5;15;3;Duque de Caxias;3301702;Baixada Fluminense;17;0;0;8;9;139;6;6;88;25;4;157;11;54;32;0;0;48;0;19;;118;468;46;22;1;11;;157;237;0;2;0;22;32; ; ; ;97;;;;;138;17;5;0;0;0;25;134;157;1240;3
60;5;2003;2003m5;15;3;Duque de Caxias;3301702;Baixada Fluminense;13;0;0;1;5;68;4;5;69;6;0;40;9;12;18;0;0;3;0;4;;22;114;13;0;1;2;;59;75;0;0;0;0;7; ; ; ;54;;;;;50;10;5;0;0;0;14;33;40;470;3
61;5;2003;2003m5;15;3;Duque de Caxias;3301702;Baixada Fluminense;1;0;0;0;0;12;1;0;15;1;0;3;1;0;0;0;0;0;0;1;;3;9;3;0;0;0;;13;16;0;1;0;0;1; ; ; ;11;;;;;13;0;1;0;0;0;1;0;3;75;3
62;5;2003;2003m5;15;3;Duque de Caxias;3301702;Baixada Fluminense;8;0;0;1;2;23;5;1;13;3;2;14;3;6;5;0;0;1;0;0;;14;48;6;0;0;1;;19;26;0;0;0;3;7; ; ; ;18;;;;;26;2;3;1;0;0;9;12;14;194;3
64;5;2003;2003m5;21;3;São João de Meriti;3305109;Baixada Fluminense;17;0;0;3;14;215;4;3;54;14;2;69;1;19;12;0;0;16;0;11;;58;202;27;8;1;1;;93;130;0;1;0;13;18; ; ; ;66;;;;;98;7;1;0;0;0;20;47;69;870;3
65;5;2003;2003m5;34;3;"Magé;Guapimirim";9999982;Baixada Fluminense;4;0;0;0;0;77;1;1;27;2;2;14;6;4;2;0;0;1;0;1;;6;38;8;0;0;1;;56;65;0;0;0;3;13; ; ; ;20;;;;;75;7;1;0;0;0;4;7;14;326;3
66;5;2003;2003m5;34;3;Magé;3302502;Baixada Fluminense;5;0;0;0;1;27;0;0;24;1;4;9;1;3;2;0;0;2;0;1;;5;28;5;0;0;0;;23;28;0;0;0;4;5; ; ; ;2;;;;;36;5;2;0;0;0;5;7;9;212;3
71;5;2003;2003m5;35;4;"Itaboraí;Tanguá";9999983;Interior;17;1;1;1;3;67;3;8;58;10;6;29;9;12;16;0;0;8;0;1;;18;109;12;1;0;2;;85;100;0;1;0;9;7; ; ; ;31;;;;;74;6;4;0;0;0;20;36;29;522;3
72;5;2003;2003m5;7;4;São Gonçalo;3304904;Grande Niterói;13;0;0;0;6;112;6;1;28;12;4;47;2;29;7;0;0;14;0;4;;29;148;42;6;1;3;;87;139;0;2;0;8;2; ; ; ;62;;;;;109;4;1;0;0;0;13;50;47;726;3
73;5;2003;2003m5;7;4;São Gonçalo;3304904;Grande Niterói;8;0;0;3;5;50;2;1;27;7;1;23;0;10;7;0;0;6;0;3;;24;81;14;2;0;3;;41;60;0;0;0;13;11; ; ; ;47;;;;;77;4;1;0;0;0;11;23;23;465;3
74;5;2003;2003m5;7;4;São Gonçalo;3304904;Grande Niterói;11;0;0;1;3;112;4;9;47;14;2;29;2;37;27;0;0;13;0;3;;19;146;19;11;3;3;;75;111;1;0;0;11;14; ; ; ;32;;;;;104;6;0;0;0;0;12;77;29;634;3
75;5;2003;2003m5;7;4;São Gonçalo;3304904;Grande Niterói;5;0;0;0;4;44;2;3;22;3;2;8;1;8;13;0;0;1;0;0;;7;43;5;2;0;1;;27;35;0;0;0;2;1; ; ; ;20;;;;;59;3;0;0;0;0;5;22;8;244;3
76;5;2003;2003m5;12;4;Niterói;3303302;Grande Niterói;6;0;0;0;0;63;0;0;30;33;0;13;5;37;21;0;0;29;0;4;;30;172;47;57;3;16;;125;248;0;3;0;23;4; ; ; ;16;;;;;57;3;0;0;0;0;6;87;13;686;3
77;5;2003;2003m5;12;4;Niterói;3303302;Grande Niterói;1;0;0;0;0;39;1;1;13;5;1;20;0;19;14;0;0;17;0;4;;24;104;60;11;0;7;;81;159;1;1;0;11;12; ; ; ;10;;;;;36;4;0;0;0;0;1;50;20;452;3
78;5;2003;2003m5;12;4;Niterói;3303302;Grande Niterói;6;0;0;3;7;53;1;1;35;10;2;23;1;10;12;0;0;7;0;1;;21;87;14;1;0;1;;41;57;0;0;0;9;14; ; ; ;25;;;;;41;2;0;0;0;0;9;29;23;367;3
79;5;2003;2003m5;12;4;Niterói;3303302;Grande Niterói;6;0;0;0;1;27;0;0;12;4;1;8;0;9;7;0;0;4;0;1;;9;43;11;2;1;2;;24;40;0;1;0;3;3; ; ; ;9;;;;;32;4;0;0;0;0;6;20;8;211;3
81;5;2003;2003m5;12;4;Niterói;3303302;Grande Niterói;1;0;0;0;0;19;1;2;18;3;5;12;0;2;4;0;0;1;0;0;;7;34;20;4;1;0;;53;78;0;0;0;6;3; ; ; ;10;;;;;43;2;1;0;0;0;1;7;12;240;3
82;5;2003;2003m5;12;4;Maricá;3302700;Grande Niterói;5;0;0;0;2;42;4;6;20;5;2;11;2;1;5;0;0;4;0;1;;5;36;4;2;0;3;;80;89;0;2;0;10;1; ; ; ;9;;;;;60;4;1;0;0;0;5;10;11;338;3
88;5;2003;2003m5;10;5;Barra do Pirai;3300308;Interior;0;0;0;0;1;44;0;2;16;0;0;0;0;1;0;0;0;0;0;1;;0;2;1;1;0;2;;35;39;0;0;0;1;12; ; ; ;2;;;;;29;3;0;0;0;0;0;1;0;178;3
89;5;2003;2003m5;37;5;Resende;3304201;Interior;4;0;0;0;9;93;0;7;36;10;0;7;2;15;3;1;0;0;0;1;;11;50;12;7;2;4;;99;124;0;0;0;7;10; ; ; ;6;;;;;86;3;0;0;0;0;4;18;7;499;3
90;5;2003;2003m5;28;5;Barra Mansa;3300407;Interior;2;0;0;0;5;81;0;4;22;5;2;4;1;6;5;0;0;1;0;0;;5;29;12;1;0;1;;76;90;0;0;0;5;13; ; ; ;13;;;;;53;4;0;0;0;0;2;12;4;352;3
91;5;2003;2003m5;10;5;Valença;3306107;Interior;0;0;0;0;0;47;0;0;12;0;0;0;0;0;0;0;0;0;0;0;;0;0;2;1;0;2;;46;51;0;0;0;3;3; ; ; ;3;;;;;42;3;2;0;0;0;0;0;0;183;3
92;5;2003;2003m5;10;5;Rio das Flores;3304508;Interior;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;1;0;0;0;0;;4;4;0;0;0;0;0; ; ; ;0;;;;;4;0;0;0;0;0;0;1;0;18;3
93;5;2003;2003m5;28;5;Volta Redonda;3306305;Interior;8;0;0;0;8;135;2;1;78;13;1;6;2;20;1;0;0;11;1;5;;16;76;11;9;0;4;;132;156;0;1;0;11;26; ; ; ;13;;;;;112;10;1;0;0;0;8;32;6;762;3
94;5;2003;2003m5;10;5;"Piraí;Pinheiral";9999988;Interior;0;0;1;0;2;35;0;1;7;2;0;5;4;0;0;0;0;0;0;1;;5;17;0;1;0;0;;13;14;0;0;0;0;0; ; ; ;1;;;;;15;0;1;0;0;0;1;0;5;91;3
95;5;2003;2003m5;10;5;Vassouras;3306206;Interior;1;0;0;0;2;30;0;1;13;0;0;2;2;1;0;0;0;0;0;0;;1;6;1;0;0;1;;18;20;0;0;0;0;0; ; ; ;2;;;;;22;0;0;0;0;0;1;1;2;99;3
96;5;2003;2003m5;10;5;"Miguel Pereira;Paty dos Alferes";9999999;Interior;1;0;0;0;0;28;0;0;11;1;1;0;0;0;1;0;0;0;0;0;;0;3;2;0;0;0;;29;31;0;0;0;1;5; ; ; ;0;;;;;33;1;0;0;0;0;1;1;0;138;3
97;5;2003;2003m5;10;5;Mendes;3302809;Interior;0;0;0;0;0;12;0;0;4;0;0;0;0;0;0;0;0;0;0;0;;0;0;2;1;0;1;;21;25;0;0;0;1;0; ; ; ;0;;;;;17;2;0;0;0;0;0;0;0;76;3
98;5;2003;2003m5;10;5;Engenheiro Paulo de Frontin;3301801;Interior;1;0;0;0;0;8;0;0;5;0;0;1;1;0;0;0;0;0;0;0;;0;2;0;0;0;0;;12;12;0;0;0;0;0; ; ; ;0;;;;;2;0;0;0;0;0;1;0;1;33;3
99;5;2003;2003m5;37;5;Itatiaia;3302254;Interior;3;0;0;0;0;24;0;1;6;4;0;0;0;1;0;0;0;1;0;0;;2;8;2;0;0;0;;45;47;0;0;0;0;5; ; ; ;5;;;;;16;0;0;0;0;0;3;2;0;138;3
100;5;2003;2003m5;28;5;"Porto Real;Quatis";9999992;Interior;0;0;0;0;1;13;1;0;6;0;0;0;0;2;0;0;0;1;0;0;;0;3;0;0;0;0;;10;10;0;1;0;2;0; ; ; ;2;;;;;14;3;0;0;0;0;0;3;0;68;3
104;5;2003;2003m5;30;7;São José do Vale do Rio Preto;3305158;Interior;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;1;0;0;;10;12;0;0;0;0;0; ; ; ;1;;;;;6;0;0;0;0;0;0;0;0;32;3
105;5;2003;2003m5;26;7;Petrópolis;3303906;Interior;2;0;0;0;0;82;0;1;74;2;4;6;4;6;2;0;0;2;0;1;;5;32;21;18;1;0;;88;128;0;0;0;10;11; ; ; ;11;;;;;79;2;0;0;0;0;2;10;6;444;3
106;5;2003;2003m5;26;7;Petrópolis;3303906;Interior;0;0;1;0;1;40;0;2;15;3;0;2;0;1;0;0;0;0;0;0;;3;9;8;2;0;0;;45;55;0;0;0;0;3; ; ; ;3;;;;;31;0;0;0;0;0;1;1;2;169;3
107;5;2003;2003m5;38;7;Paraíba do Sul;3303708;Interior;1;0;0;0;1;28;1;5;8;3;1;3;1;1;1;0;0;0;0;0;;3;13;2;0;0;0;;12;14;0;0;0;2;3; ; ; ;3;;;;;30;0;0;0;0;0;1;2;3;112;3
108;5;2003;2003m5;38;7;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;3;0;0;0;2;64;1;2;20;5;0;6;3;8;2;0;0;2;0;0;;7;33;7;4;0;0;;49;60;0;0;0;3;11; ; ; ;6;;;;;91;3;0;0;0;0;3;12;6;342;3
109;5;2003;2003m5;38;7;Sapucaia;3305406;Interior;0;1;0;0;0;7;0;1;9;0;0;3;4;0;0;0;0;0;0;0;;1;8;1;0;0;0;;6;7;0;0;0;0;0; ; ; ;1;;;;;4;0;1;0;0;0;1;0;3;42;3
110;5;2003;2003m5;30;7;Teresópolis;3305802;Interior;3;0;0;0;7;72;3;0;40;3;1;5;2;6;0;0;0;0;0;0;;4;21;11;5;0;1;;83;100;0;0;0;8;9; ; ; ;5;;;;;40;5;1;0;0;0;3;6;5;356;3
111;5;2003;2003m5;11;7;Sumidouro;3305703;Interior;0;0;0;0;0;10;2;1;6;0;1;1;0;0;0;0;0;0;0;0;;0;2;0;0;0;0;;6;6;0;0;0;0;1; ; ; ;0;;;;;7;0;0;0;0;0;0;0;1;34;3
112;5;2003;2003m5;11;7;Carmo;3301207;Interior;0;0;0;0;0;20;0;1;2;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;11;11;0;0;0;1;0; ; ; ;0;;;;;14;1;1;0;0;0;0;0;0;54;3
118;5;2003;2003m5;25;4;Araruama;3300209;Interior;1;0;0;0;1;34;2;2;23;4;1;6;1;4;0;0;0;1;0;3;;7;27;11;1;0;1;;96;109;0;1;0;2;4; ; ; ;7;;;;;40;2;0;0;0;0;1;5;6;297;3
119;5;2003;2003m5;35;4;Rio Bonito;3304300;Interior;1;0;0;0;1;22;1;3;4;0;1;4;0;0;4;0;0;1;0;1;;0;11;5;1;1;1;;39;47;0;0;0;3;4; ; ; ;2;;;;;15;0;1;0;0;0;1;5;4;142;3
120;5;2003;2003m5;35;4;Silva Jardim;3305604;Interior;2;0;1;0;0;8;0;0;6;0;0;3;5;0;0;0;0;0;0;0;;1;9;1;0;0;1;;13;15;0;0;0;0;1; ; ; ;1;;;;;7;0;0;0;0;0;3;0;3;66;3
121;5;2003;2003m5;32;6;Casimiro de Abreu;3301306;Interior;1;0;0;0;1;11;0;2;10;0;1;3;2;1;0;0;0;0;0;0;;4;11;1;0;0;0;;9;10;0;0;0;0;4; ; ; ;2;;;;;10;0;0;0;0;0;1;1;3;77;3
122;5;2003;2003m5;32;6;Conceição de Macabú;3301405;Interior;0;0;0;0;0;17;0;0;5;1;0;1;1;0;0;0;0;0;0;0;;0;3;1;0;0;1;;9;11;0;0;0;0;1; ; ; ;3;;;;;11;1;0;0;0;0;0;0;1;63;3
123;5;2003;2003m5;32;6;"Macaé;Quissamã;Carapebus";9999984;Interior;12;0;0;0;5;59;4;1;54;5;3;6;3;10;9;0;0;5;0;0;;5;46;44;4;1;5;;83;137;0;2;0;8;23; ; ; ;22;;;;;45;4;4;0;0;0;12;24;6;470;3
124;5;2003;2003m5;25;4;Saquarema;3305505;Interior;1;0;0;0;0;18;0;2;21;3;1;2;0;1;2;0;0;0;0;0;;0;9;5;0;0;0;;47;52;0;1;0;1;2; ; ; ;9;;;;;15;1;1;0;0;0;1;3;2;159;3
125;5;2003;2003m5;25;4;São Pedro da Aldeia;3305208;Interior;1;0;0;1;11;29;3;0;28;8;1;2;0;4;4;0;0;0;0;0;;2;21;11;1;0;3;;43;58;0;0;0;0;8; ; ; ;11;;;;;22;1;0;0;0;0;2;8;2;211;3
126;5;2003;2003m5;25;4;"Cabo Frio;Arraial do Cabo";9999985;Interior;6;0;0;1;5;59;0;0;38;4;1;8;0;20;4;0;0;8;0;1;;6;52;22;3;0;4;;142;171;0;2;0;10;17; ; ; ;22;;;;;75;3;0;0;0;0;7;32;8;556;3
127;5;2003;2003m5;25;4;Armação dos Búzios;3300233;Interior;4;0;0;0;1;29;2;0;14;5;4;3;0;1;1;0;0;0;0;0;;3;17;11;1;1;0;;59;72;0;0;0;1;2; ; ; ;11;;;;;17;0;0;0;0;0;4;2;3;209;3
128;5;2003;2003m5;32;6;Rio das Ostras;3304524;Interior;1;0;0;0;2;38;0;0;32;0;3;4;1;3;1;0;0;2;0;0;;1;15;7;4;0;1;;89;101;0;0;0;3;2; ; ; ;5;;;;;47;2;2;0;0;0;1;6;4;280;3
129;5;2003;2003m5;25;4;Iguaba Grande;3301876;Interior;1;0;0;0;0;12;0;1;5;0;1;1;0;0;0;0;0;0;0;0;;0;2;0;1;0;1;;41;43;0;0;0;2;2; ; ; ;1;;;;;10;1;1;0;0;0;1;0;1;82;3
134;5;2003;2003m5;8;6;Campos dos Goytacazes;3301009;Interior;5;0;0;0;3;101;2;12;158;12;6;10;1;31;1;0;0;25;0;1;;10;97;28;14;1;8;;152;203;0;1;0;11;21; ; ; ;22;;;;;98;5;6;0;0;0;5;57;10;795;3
135;5;2003;2003m5;36;6;Itaocara;3302106;Interior;0;0;0;0;0;9;0;2;8;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;7;7;0;0;0;0;1; ; ; ;2;;;;;2;0;0;0;0;0;0;0;0;48;3
136;5;2003;2003m5;36;6;"Santo Antônio de Pádua;Aperibé";9999993;Interior;0;0;0;0;2;18;0;2;9;2;0;0;0;1;0;0;0;0;0;0;;0;3;2;0;0;0;;19;21;0;0;0;3;3; ; ; ;2;;;;;14;0;0;0;0;0;0;1;0;105;3
137;5;2003;2003m5;36;6;Miracema;3303005;Interior;0;0;0;0;1;36;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;2;0;0;;16;18;0;0;0;1;20; ; ; ;0;;;;;11;0;0;0;0;0;0;0;0;101;3
138;5;2003;2003m5;29;6;Laje do Muriaé;3302304;Interior;0;0;0;0;0;4;0;0;3;0;0;0;0;1;0;0;0;0;0;0;;0;1;0;0;0;0;;5;5;0;0;0;0;1; ; ; ;0;;;;;7;0;0;0;0;0;0;1;0;27;3
139;5;2003;2003m5;29;6;Porciúncula;3304102;Interior;0;0;0;0;0;12;1;1;7;0;0;0;0;1;0;0;0;0;0;0;;0;1;0;0;0;0;;3;3;0;0;0;0;2; ; ; ;0;;;;;14;0;0;0;0;0;0;1;0;53;3
140;5;2003;2003m5;29;6;"Natividade;Varre-Sai";9999997;Interior;0;0;0;0;1;15;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;4;4;0;0;0;1;1; ; ; ;0;;;;;9;0;0;0;0;0;0;0;0;59;3
141;5;2003;2003m5;8;6;São Fidélis;3304805;Interior;0;0;0;0;0;13;1;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;2;0;1;;19;22;0;0;0;1;2; ; ; ;0;;;;;7;0;0;0;0;0;0;0;0;78;3
142;5;2003;2003m5;36;6;Cambuci;3300902;Interior;1;0;0;0;1;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;;7;8;0;0;0;2;0; ; ; ;0;;;;;7;0;0;0;0;0;1;0;0;67;3
143;5;2003;2003m5;29;6;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;0;0;0;0;7;79;1;2;80;1;3;0;0;3;0;0;0;1;0;0;;1;9;2;2;0;1;;78;83;0;0;0;1;31; ; ; ;1;;;;;76;0;0;0;1;0;0;4;0;408;3
