Última Medição;2018m12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Download em;2019m01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Site;http://www.ispdados.rj.gov.br/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CISP;mes;vano;mes_ano;AISP;RISP;munic;mcirc;Regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;registro_ocorrencias;fase
21;1;2003;2003m1;22;1;Rio de Janeiro;3304557;Capital;23;0;0;8;16;75;2;4;51;15;3;166;23;52;40;0;0;31;0;6;;122;458;51;6;3;9;;87;156;0;0;0;18;23; ; ; ;159;;;;;53;8;5;0;1;1;31;123;166;991;3
22;1;2003;2003m1;16;1;Rio de Janeiro;3304557;Capital;2;0;0;0;0;41;1;3;45;21;1;131;10;27;14;0;0;17;0;5;;83;309;64;12;3;4;;84;167;0;0;0;5;7; ; ; ;103;;;;;43;4;3;0;0;0;2;58;131;687;3
23;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;1;0;0;0;2;61;0;0;32;13;1;124;13;32;4;0;0;41;0;6;;121;355;49;5;1;11;;94;160;1;0;0;37;5; ; ; ;70;;;;;56;0;0;0;0;0;1;77;124;790;3
24;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;3;0;0;1;2;54;1;1;38;6;1;78;10;24;3;0;0;19;0;1;;66;208;18;4;1;4;;39;66;0;0;0;10;7; ; ; ;60;;;;;55;6;1;0;0;0;4;46;78;502;3
25;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;3;0;0;2;4;39;3;2;19;3;1;118;10;22;6;0;0;16;0;3;;100;279;12;9;1;8;;54;84;0;1;0;8;33; ; ; ;127;;;;;25;2;1;0;0;0;5;44;118;629;3
26;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0; ; ; ;0;;;;;0;0;0;0;0;0;0;0;0;0;3
27;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;7;0;0;2;2;60;2;3;34;13;1;148;2;22;7;0;0;23;2;7;;116;341;51;5;1;2;;89;148;0;0;0;5;3; ; ; ;54;;;;;58;0;1;0;0;0;9;52;148;648;3
28;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;2;0;1;3;6;41;1;0;31;9;0;54;3;19;12;0;0;18;0;3;;39;157;18;7;0;3;;55;83;0;1;0;6;3; ; ; ;36;;;;;49;5;1;0;0;0;6;49;54;419;3
29;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;10;0;0;1;1;49;2;0;19;11;1;45;2;39;21;0;0;29;0;4;;37;189;19;19;1;10;;59;108;0;0;0;18;5; ; ; ;24;;;;;53;7;1;0;0;0;11;89;45;517;3
30;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;3;0;1;5;5;92;2;0;20;8;1;96;4;36;9;0;0;22;0;5;;66;247;30;15;1;4;;45;95;0;0;0;9;4; ; ; ;32;;;;;90;2;4;0;0;0;9;67;96;577;3
31;1;2003;2003m1;14;2;Rio de Janeiro;3304557;Capital;1;0;0;0;0;4;0;0;2;0;0;3;2;0;0;0;0;1;0;0;;6;12;0;0;0;0;;3;3;0;0;0;0;0; ; ; ;1;;;;;10;0;0;0;0;0;1;1;3;41;3
32;1;2003;2003m1;18;2;Rio de Janeiro;3304557;Capital;6;1;0;0;12;200;7;3;65;10;9;52;10;14;19;0;0;20;0;3;;35;172;18;8;2;7;;79;114;0;2;0;8;9; ; ; ;54;;;;;181;9;3;0;0;0;7;53;52;830;3
33;1;2003;2003m1;14;2;Rio de Janeiro;3304557;Capital;8;0;2;0;0;98;0;2;46;6;0;62;10;35;4;0;0;17;0;2;;46;182;24;4;0;4;;53;85;0;0;0;14;11; ; ; ;32;;;;;86;5;6;0;0;0;10;56;62;590;3
34;1;2003;2003m1;14;2;Rio de Janeiro;3304557;Capital;14;0;0;15;14;119;11;3;43;14;4;93;14;41;13;0;0;23;0;2;;78;282;50;14;1;9;;92;166;0;0;0;11;38; ; ; ;96;;;;;71;12;5;0;1;1;29;77;93;908;3
35;1;2003;2003m1;31;2;Rio de Janeiro;3304557;Capital;32;0;1;0;4;257;14;4;122;16;4;93;10;54;26;0;0;25;1;4;;64;297;54;36;1;31;;201;323;0;2;0;30;9; ; ; ;62;;;;;208;27;12;0;0;0;33;105;93;1444;3
36;1;2003;2003m1;27;2;Rio de Janeiro;3304557;Capital;22;0;1;3;8;156;4;3;52;9;2;26;7;11;13;0;0;10;1;4;;18;101;10;6;1;8;;80;105;0;0;0;7;20; ; ; ;23;;;;;128;11;7;1;0;0;26;34;26;656;3
37;1;2003;2003m1;17;1;Rio de Janeiro;3304557;Capital;3;0;0;2;10;90;3;1;54;11;1;82;10;19;10;0;0;19;0;3;;54;209;14;5;0;15;;112;146;0;1;0;24;16; ; ; ;68;;;;;84;7;9;0;0;0;5;48;82;745;3
38;1;2003;2003m1;16;1;Rio de Janeiro;3304557;Capital;1;0;0;1;3;65;1;1;26;13;2;142;14;8;6;0;0;8;0;4;;94;291;38;3;0;0;;65;106;0;0;0;9;11; ; ; ;90;;;;;33;6;2;0;0;0;2;22;142;552;3
39;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;20;1;1;5;12;94;3;1;36;17;5;135;16;34;12;0;0;33;0;2;;100;354;23;7;1;4;;40;75;0;0;0;4;11; ; ; ;92;;;;;69;8;0;0;1;0;27;79;135;738;3
40;1;2003;2003m1;9;2;Rio de Janeiro;3304557;Capital;7;1;1;3;9;56;3;1;27;8;1;70;8;13;8;0;0;14;1;4;;40;167;14;3;0;3;;28;48;0;0;0;6;2; ; ; ;89;;;;;28;4;2;0;0;0;12;35;70;419;3
41;1;2003;2003m1;18;2;Rio de Janeiro;3304557;Capital;4;0;0;2;4;51;3;1;44;6;2;56;2;14;4;0;0;8;0;6;;32;130;26;4;0;4;;86;120;0;0;0;16;4; ; ; ;32;;;;;49;7;1;0;0;0;6;26;56;473;3
44;1;2003;2003m1;3;1;Rio de Janeiro;3304557;Capital;3;0;2;2;4;45;1;1;29;9;4;105;10;20;7;0;0;12;0;0;;70;237;23;1;1;0;;37;62;0;1;0;3;11; ; ; ;86;;;;;18;1;0;0;0;0;7;39;105;464;3
48;1;2003;2003m1;24;3;Seropédica;3305554;Baixada Fluminense;4;0;0;0;2;23;1;5;8;1;0;5;1;1;0;0;0;1;0;0;;7;16;1;1;0;0;;26;28;0;0;0;0;4; ; ; ;2;;;;;28;0;1;0;0;0;4;2;5;139;3
50;1;2003;2003m1;24;3;Itaguaí;3302007;Baixada Fluminense;7;0;0;0;5;58;1;2;33;3;5;4;0;5;0;0;0;6;0;1;;5;29;4;0;0;1;;32;37;0;0;0;8;4; ; ; ;4;;;;;79;3;0;0;0;0;7;11;4;246;3
